gamePk,home_team,away_team,run_line,ou_line
778375,Cleveland Guardians,Kansas City Royals,-1.5,7.0
778374,Cincinnati Reds,Pittsburgh Pirates,-1.5,8.0
778367,Tampa Bay Rays,Atlanta Braves,-1.5,9.0
778372,Baltimore Orioles,Toronto Blue Jays,-1.5,8.0
778370,New York Yankees,San Francisco Giants,-1.5,8.0
778369,Miami Marlins,Washington Nationals,1.5,8.0
778366,Chicago White Sox,Boston Red Sox,1.5,8.0
778363,Minnesota Twins,Detroit Tigers,1.5,7.5
778368,Houston Astros,Los Angeles Angels,-1.5,8.5
778365,St. Louis Cardinals,Philadelphia Phillies,1.5,7.5
778361,San Diego Padres,Colorado Rockies,-1.5,7.5
778360,Seattle Mariners,Texas Rangers,1.5,6.5
778364,Arizona Diamondbacks,Milwaukee Brewers,-1.5,9.0
778356,Los Angeles Dodgers,Chicago Cubs,-1.5,8.0
778363,Minnesota Twins,Detroit Tigers,1.5,8.5
778365,St. Louis Cardinals,Philadelphia Phillies,1.5,7.5
778370,New York Yankees,San Francisco Giants,-1.5,8.0
778372,Baltimore Orioles,Toronto Blue Jays,-1.5,8.5
778367,Tampa Bay Rays,Atlanta Braves,-1.5,8.5
778366,Chicago White Sox,Boston Red Sox,1.5,7.5
778369,Miami Marlins,Washington Nationals,-1.5,7.5
778375,Cleveland Guardians,Kansas City Royals,-1.5,7.5
778374,Cincinnati Reds,Pittsburgh Pirates,-1.5,8.5
778368,Houston Astros,Los Angeles Angels,-1.5,9.0
778364,Arizona Diamondbacks,Milwaukee Brewers,-1.5,8.5
778356,Los Angeles Dodgers,Chicago Cubs,-1.5,8.5
778360,Seattle Mariners,Texas Rangers,-1.5,7.0
